time,col,x,y,level,time
20100511,11068,S19,W25,N,99:99
20100511,11070,N21,W87,N,99:99
20100511,11071,S20,W82,N,99:99
20100512,11067,N23,W76,N,99:99
20100512,11068,S19,W38,N,99:99
20100512,11070,N21,W91,N,99:99
20100512,11071,S20,W91,N,99:99
20100513,11067,N23,W89,N,99:99
20100513,11068,S19,W51,N,99:99
20100513,11071,S20,W91,N,99:99
20100514,11067,N23,W91,N,99:99
20100514,11068,S19,W64,N,99:99
20100515,11068,S19,W77,N,99:99
20100516,11068,S19,W90,N,99:99
20100517,11068,S19,W91,N,99:99
20100522,11072,S16,W00,N,99:99
20100523,11072,S16,W06,N,99:99
20100524,11072,S15,W23,N,99:99
20100525,11072,S15,W36,N,99:99
20100526,11072,S15,W50,N,99:99
20100527,11072,S23,W66,N,99:99
20100528,11072,S15,W79,N,99:99
20100529,11072,S15,W91,N,99:99
20100530,11073,N13,E21,N,99:99
20100530,11074,N19,W71,N,99:99
20100530,11075,S20,W16,N,99:99
20100531,11073,N13,E07,N,99:99
20100531,11074,N17,W86,N,99:99
20100531,11075,S20,W30,N,99:99
20100601,11073,N12,W05,N,99:99
20100601,11075,S19,W46,N,99:99
20100601,11076,S19,W07,N,99:99
20100601,11074,N17,W91,N,99:99
20100602,11076,S20,W20,N,99:99
20100602,11073,N12,W18,N,99:99
20100602,11075,S19,W59,N,99:99
20100603,11076,S19,W36,N,99:99
20100603,11073,N12,W31,N,99:99
20100603,11075,S19,W72,N,99:99
20100604,11076,S27,W42,N,99:99
20100604,11073,N19,W44,N,99:99
20100604,11075,S19,W85,N,99:99
20100605,11076,S19,W63,N,99:99
20100605,11077,N20,W61,N,99:99
20100606,11076,S19,W75,N,99:99
20100606,11077,N20,W61,N,99:99
20100607,11076,S19,W88,N,99:99
20100608,11076,S19,W91,N,99:99
20100608,11078,S22,W59,N,99:99
20100609,11078,S22,W59,N,99:99
20100609,11079,S26,W50,N,99:99
20100610,11078,S21,W74,N,99:99
20100610,11079,S26,W50,N,99:99
20100610,11080,S25,W53,N,99:99
20100611,11078,S22,W87,N,99:99
20100611,11079,S26,W69,N,99:99
20100611,11080,S25,W53,N,99:99
20100611,11081,N22,W57,N,99:99
20100612,11078,S22,W91,N,99:99
20100612,11079,S24,W91,N,99:99
20100612,11080,S23,W68,N,99:99
20100612,11081,N22,W57,N,99:99
20100612,11081,N22,W57,C,09:02
20100612,11081,N22,W57,C,03:57
20100612,11081,N22,W57,N,99:99
20100613,11079,S24,W91,N,99:99
20100613,11079,S24,W91,C,07:31
20100613,11079,S24,W91,M,05:30
20100613,11079,S24,W91,N,99:99
20100613,11080,S23,W81,N,99:99
20100613,11080,S23,W81,C,07:05
20100613,11080,S23,W81,N,99:99
20100613,11081,N24,W72,N,99:99
20100613,11081,N24,W72,C,10:47
20100613,11081,N24,W72,C,09:41
20100613,11081,N24,W72,C,08:06
20100613,11081,N24,W72,C,06:08
20100613,11081,N24,W72,N,99:99
20100613,11081,N24,W72,C,09:02
20100613,11081,N24,W72,C,03:57
20100614,11079,S23,W91,N,99:99
20100614,11079,S23,W91,N,99:99
20100614,11079,S23,W91,C,07:31
20100614,11079,S23,W91,M,05:30
20100614,11080,S24,W91,N,99:99
20100614,11080,S24,W91,N,99:99
20100614,11080,S24,W91,C,07:05
20100614,11081,N24,W90,N,99:99
20100614,11081,N24,W90,C,00:44
20100614,11081,N24,W90,N,99:99
20100614,11081,N24,W90,C,10:47
20100614,11081,N24,W90,C,09:41
20100614,11081,N24,W90,C,08:06
20100614,11081,N24,W90,C,06:08
20100615,11081,N25,W91,N,99:99
20100615,11081,N25,W91,N,99:99
20100615,11081,N25,W91,C,00:44
20100618,11082,N28,E19,N,99:99
20100619,11082,N29,E08,N,99:99
20100619,11083,N19,W36,N,99:99
20100620,11082,N29,W04,N,99:99
20100620,11083,N19,W36,N,99:99
20100621,11082,N27,W19,N,99:99
20100622,11082,N27,W37,N,99:99
20100623,11082,N26,W51,N,99:99
20100624,11082,N26,W66,N,99:99
20100625,11082,N27,W79,N,99:99
20100626,11082,N26,W91,N,99:99
20100627,11084,S19,E45,N,99:99
20100628,11084,S19,E45,N,99:99
20100629,11084,S19,E32,N,99:99
20100629,11085,S23,W38,N,99:99
20100630,11084,S19,E20,N,99:99
20100630,11085,S23,W38,N,99:99
20100701,11084,S19,E05,N,99:99
20100702,11084,S19,W07,N,99:99
20100703,11084,S20,W20,N,99:99
20100704,11084,S19,W33,N,99:99
20100705,11084,S19,W46,N,99:99
20100705,11086,N18,W67,N,99:99
20100706,11084,S19,W60,N,99:99
20100706,11086,N18,W67,N,99:99
20100707,11084,S19,W73,N,99:99
20100707,11086,N18,W79,N,99:99
20100708,11084,S19,W85,N,99:99
20100708,11086,N18,W91,N,99:99
20100709,11084,S19,W91,N,99:99
20100709,11087,N18,E58,N,99:99
20100710,11087,N18,E58,N,99:99
20100711,11087,N19,E43,N,99:99
20100712,11087,N19,E30,N,99:99
20100713,11087,N21,E16,N,99:99
20100713,11087,N21,E16,C,10:43
20100713,11087,N21,E16,N,99:99
20100713,11088,S21,W02,N,99:99
20100714,11087,N21,E06,N,99:99
