12094,2014:06:21:00:00:00,2014:06:22:00:00:00
12097,2014:06:27:00:00:00,2014:06:28:00:00:00
12098,2014:06:25:00:00:00,2014:06:26:00:00:00
12100,2014:06:30:00:00:00,2014:07:01:00:00:00
12102,2014:07:03:00:00:00,2014:07:04:00:00:00
12103,2014:07:01:00:00:00,2014:07:02:00:00:00
12104,2014:07:03:00:00:00,2014:07:04:00:00:00
12105,2014:06:30:00:00:00,2014:07:01:00:00:00
12106,2014:07:04:00:00:00,2014:07:05:00:00:00
12107,2014:07:04:00:00:00,2014:07:05:00:00:00
12108,2014:07:06:00:00:00,2014:07:07:00:00:00
12110,2014:07:06:00:00:00,2014:07:07:00:00:00
12111,2014:07:08:00:00:00,2014:07:09:00:00:00
12116,2014:07:13:00:00:00,2014:07:14:00:00:00
12117,2014:07:12:00:00:00,2014:07:13:00:00:00
12119,2014:07:19:00:00:00,2014:07:20:00:00:00
12122,2014:07:25:00:00:00,2014:07:26:00:00:00
12123,2014:07:26:00:00:00,2014:07:27:00:00:00
12124,2014:07:30:00:00:00,2014:07:31:00:00:00
12128,2014:08:01:00:00:00,2014:08:02:00:00:00
12131,2014:08:02:00:00:00,2014:08:03:00:00:00
12133,2014:08:06:00:00:00,2014:08:07:00:00:00
12141,2014:08:18:00:00:00,2014:08:19:00:00:00
12143,2014:08:18:00:00:00,2014:08:19:00:00:00
12142,2014:08:17:00:00:00,2014:08:18:00:00:00
12145,2014:08:16:00:00:00,2014:08:17:00:00:00
12147,2014:08:22:00:00:00,2014:08:23:00:00:00
12153,2014:08:30:00:00:00,2014:08:31:00:00:00
12154,2014:09:04:00:00:00,2014:09:05:00:00:00
12155,2014:09:08:00:00:00,2014:09:09:00:00:00
12156,2014:09:07:00:00:00,2014:09:08:00:00:00
12163,2014:09:11:00:00:00,2014:09:12:00:00:00
12165,2014:09:15:00:00:00,2014:09:16:00:00:00
12166,2014:09:17:00:00:00,2014:09:18:00:00:00
12168,2014:09:20:00:00:00,2014:09:21:00:00:00
12169,2014:09:21:00:00:00,2014:09:22:00:00:00
12170,2014:09:21:00:00:00,2014:09:22:00:00:00
12171,2014:09:23:00:00:00,2014:09:24:00:00:00
12176,2014:09:27:00:00:00,2014:09:28:00:00:00
12177,2014:10:01:00:00:00,2014:10:02:00:00:00
12178,2014:10:02:00:00:00,2014:10:03:00:00:00
