time,col,x,y,level,time
19970315,8020,8,45,N,99:99
19970315,8021,29,45,N,99:99
19970315,8022,5,35,N,99:99
19970316,8020,7,58,N,99:99
19970316,8021,31,58,N,99:99
19970316,8022,4,48,N,99:99
19970316,8022,4,48,N,99:99
19970317,8021,33,67,N,99:99
19970317,8022,4,61,N,99:99
19970318,8022,4,75,N,99:99
19970319,8022,6,87,N,99:99
19970319,8023,10,36,N,99:99
19970329,8026,24,46,N,99:99
19970330,8026,24,33,N,99:99
19970331,8026,25,19,N,99:99
19970401,8026,24,7,N,99:99
19970401,8026,24,7,C,07:52
19970401,8026,24,7,N,99:99
19970402,8026,25,6,N,99:99
19970402,8026,25,6,C,05:24
19970402,8026,25,6,C,00:28
19970402,8026,25,6,N,99:99
19970402,8026,25,6,C,07:52
19970403,8026,24,15,N,99:99
19970403,8026,24,15,N,99:99
19970403,8026,24,15,C,05:24
19970403,8026,24,15,C,00:28
19970403,8027,30,64,N,99:99
19970404,8026,23,28,N,99:99
19970404,8027,27,51,N,99:99
19970405,8026,23,38,N,99:99
19970405,8027,29,38,N,99:99
19970406,8026,23,55,N,99:99
19970406,8027,28,24,N,99:99
19970407,8026,23,65,N,99:99
19970407,8027,28,11,N,99:99
19970407,8027,28,11,C,13:50
19970407,8027,28,11,N,99:99
19970408,8027,28,1,N,99:99
19970408,8027,28,1,N,99:99
19970408,8027,28,1,C,13:50
19970409,8027,28,13,N,99:99
19970409,8028,7,64,N,99:99
19970410,8027,28,26,N,99:99
19970410,8029,24,32,N,99:99
19970412,8027,28,52,N,99:99
19970412,8029,24,58,N,99:99
19970413,8029,24,72,N,99:99
19970413,8031,30,50,N,99:99
19970414,8029,24,87,N,99:99
19970414,8031,30,63,N,99:99
19970415,8029,24,91,N,99:99
19970415,8031,29,76,N,99:99
19970415,8032,23,7,N,99:99
19970415,8032,23,7,C,14:00
19970415,8032,23,7,N,99:99
19970416,8031,30,91,N,99:99
19970416,8032,22,7,N,99:99
19970416,8032,22,7,N,99:99
19970416,8032,22,7,C,14:00
19970419,8032,23,47,N,99:99
19970420,8034,21,29,N,99:99
19970423,8035,17,50,N,99:99
19970424,8035,18,37,N,99:99
19970425,8035,18,21,N,99:99
19970426,8035,18,9,N,99:99
19970427,8035,18,4,N,99:99
19970427,8036,18,50,N,99:99
19970429,8036,18,77,N,99:99
19970430,8036,16,91,N,99:99
19970504,8037,26,43,N,99:99
19970505,8037,25,56,N,99:99
19970507,8038,20,45,N,99:99
19970508,8038,20,32,N,99:99
19970509,8038,21,14,N,99:99
19970509,8039,23,45,N,99:99
19970510,8038,21,7,N,99:99
19970511,8038,21,6,N,99:99
19970511,8039,23,65,N,99:99
19970512,8038,21,19,N,99:99
19970512,8038,21,19,C,04:42
19970512,8038,21,19,N,99:99
19970512,8039,23,78,N,99:99
19970513,8038,21,32,N,99:99
19970513,8038,21,32,N,99:99
19970513,8038,21,32,C,04:42
19970514,8038,20,44,N,99:99
19970515,8038,20,57,N,99:99
19970516,8038,20,71,N,99:99
19970517,8038,21,83,N,99:99
19970517,8040,6,42,N,99:99
19970518,8038,24,91,N,99:99
19970518,8040,3,27,N,99:99
19970518,8041,4,10,N,99:99
19970518,8042,25,33,N,99:99
19970519,8040,6,14,N,99:99
19970519,8041,6,5,N,99:99
19970520,8040,5,1,N,99:99
19970520,8043,28,53,N,99:99
19970520,8044,35,64,N,99:99
19970521,8040,5,14,N,99:99
19970521,8040,5,14,M,20:03
19970521,8040,5,14,C,06:04
19970521,8040,5,14,N,99:99
19970521,8043,28,66,N,99:99
19970521,8044,36,51,N,99:99
19970523,8040,5,40,N,99:99
19970523,8043,27,91,N,99:99
19970523,8044,35,29,N,99:99
19970523,8045,2,27,N,99:99
19970524,8040,7,55,N,99:99
19970524,8044,35,15,N,99:99
19970524,8045,3,42,N,99:99
19970524,8046,26,54,N,99:99
19970525,8040,6,68,N,99:99
19970525,8044,35,4,N,99:99
19970525,8045,1,57,N,99:99
19970525,8046,25,41,N,99:99
19970526,8040,8,84,N,99:99
19970526,8044,34,9,N,99:99
19970526,8045,3,70,N,99:99
19970526,8046,27,28,N,99:99
